PROLIFIC_PID,excluded,exclusion_reason,percent_missing,n_missing_items,percent_identical_responses,response_sd,completion_time_minutes,bottom_completion_percentile,littles_mcar_p_value,missing_pattern_systematic
62786f21e2cc1d6adeea0a79,False,,0.0,0,53.125,0.8175247850637608,29.366666666666667,18.523316062176164,0.8105445574699165,False
677614004b333b9a50de9d41,False,,0.0,0,100.0,0.0,65.76666666666667,91.45077720207253,0.8105445574699165,False
671fbc510bb94767d36db746,False,,0.0,0,43.75,0.7718588789618592,36.48333333333333,47.409326424870464,0.8105445574699165,False
677b43188ec54f1186b62411,False,,0.0,0,43.75,0.7378040652569471,26.98333333333333,8.031088082901555,0.8105445574699165,False
67863d420c27f3b6e5f57073,False,,0.0,0,68.75,0.6090712125322324,32.016666666666666,31.60621761658031,0.8105445574699165,False
5d6513f46f5284000118ef1d,False,,0.0,0,68.75,0.5350610456580119,40.35,59.32642487046632,0.8105445574699165,False
66f6e3a582de0614bd19b481,False,,0.0,0,50.0,0.7288689868556626,46.63333333333333,72.27979274611398,0.8105445574699165,False
63ebd39a63bb79b50d438ab7,False,,0.0,0,43.75,0.9482581654734625,57.95,85.4922279792746,0.8105445574699165,False
671f3e367fa293418ae68c42,False,,0.0,0,37.5,1.7180258738522556,36.55,47.927461139896366,0.8105445574699165,False
58a229e74d580c0001e0a766,False,,0.0,0,31.25,1.1283552117444966,30.15,23.83419689119171,0.8105445574699165,False
66c8abe49537b182dcbd2049,False,,0.0,0,53.125,0.7120789644505048,30.35,24.352331606217614,0.8105445574699165,False
63e6378e04ade071ebf9ff9c,False,,0.0,0,71.875,0.45680340939917435,36.45,47.15025906735751,0.8105445574699165,False
5dd671942b033b5ec8bc97b4,False,,0.0,0,43.75,0.8884337432408971,49.833333333333336,77.97927461139896,0.8105445574699165,False
678aa22eb5db2af9be397452,False,,0.0,0,43.75,0.8590129369261278,40.21666666666667,59.067357512953365,0.8105445574699165,False
6736142695794b6108842ed2,False,,0.0,0,34.375,1.189673308368798,29.03333333333333,16.83937823834197,0.8105445574699165,False
6716dbc5faa8d435d67f0ed7,False,,0.0,0,68.75,0.8798826901281197,45.333333333333336,68.78238341968911,0.8105445574699165,False
67253dbcd4950a2168aa7741,False,,0.0,0,53.125,0.8206016675429032,38.516666666666666,54.14507772020725,0.8105445574699165,False
62ffa989dbd072768cd2a14e,False,,0.0,0,53.125,0.7378040652569471,86.15,97.40932642487046,0.8105445574699165,False
664f408259a7d76b52e2ae25,False,,0.0,0,50.0,1.1622419935679933,27.366666666666667,10.10362694300518,0.8105445574699165,False
58d1f1038084450001956fdc,True,Excluded by criteria,0.0,0,62.5,0.4918693768379647,22.016666666666666,0.77720207253886,0.8105445574699165,False
6668d4917e343a318af11adf,False,,0.0,0,53.125,0.8884337432408971,47.16666666666666,72.79792746113989,0.8105445574699165,False
6780b105e7a5923128d8457d,False,,0.0,0,34.375,1.20315445607008,34.96666666666667,41.321243523316056,0.8105445574699165,False
67824ed63aa44baedbe5d46f,False,,0.0,0,37.5,1.0140146973548327,39.583333333333336,57.25388601036269,0.8105445574699165,False
669b00d76af70db9da1b0301,False,,0.0,0,46.875,1.2568361455552564,62.833333333333336,89.63730569948186,0.8105445574699165,False
60ff8f48909c68ae805ea2ba,False,,0.0,0,31.25,1.016001016001524,33.416666666666664,37.04663212435233,0.8105445574699165,False
678851f427536397f63120bf,False,,0.0,0,31.25,1.0297979758028961,32.766666666666666,34.19689119170984,0.8105445574699165,False
5c0245f0a9d1ef00011816ea,False,,0.0,0,56.25,0.6221710168382552,29.683333333333334,19.689119170984455,0.8105445574699165,False
5c2c62542c45d400014a32e6,False,,0.0,0,50.0,0.745280852019624,29.316666666666663,18.134715025906733,0.8105445574699165,False
66bab7aa032ffe5aeb0a3834,False,,0.0,0,43.75,1.1913667943625412,55.73333333333333,84.06735751295336,0.8105445574699165,False
675402ab00652943d80d7ddb,False,,0.0,0,43.75,0.7120789644505048,50.46666666666667,79.01554404145077,0.8105445574699165,False
6766a8b9f2f6140bdb9fab39,False,,0.0,0,50.0,0.8032193289024988,47.13333333333333,72.53886010362693,0.8105445574699165,False
66f5c81fa771db6db1bc2382,False,,0.0,0,46.875,0.8327955253822958,30.03333333333333,23.575129533678755,0.8105445574699165,False
62fb84322433c8d7e890a145,False,,0.0,0,40.625,0.9240295694193397,29.716666666666665,19.94818652849741,0.8105445574699165,False
65a4598a91a3f0e75374a8c4,False,,0.0,0,46.875,0.802591568487018,54.833333333333336,83.16062176165802,0.8105445574699165,False
674083da048a73d78070ea5b,False,,0.0,0,62.5,0.5599179087296003,55.21666666666667,83.67875647668393,0.8105445574699165,False
676b5cae2bdeb2fceba3e9cb,False,,0.0,0,31.25,1.016001016001524,28.55,13.98963730569948,0.8105445574699165,False
6785fc7153cd5fe0e7d2cc0a,True,Excluded by criteria,0.0,0,65.625,0.48255870443481425,23.23333333333333,1.2953367875647668,0.8105445574699165,False
