PROLIFIC_PID,Age,Sex,Colourblindness,Vision,Country_of_residence,Student_status,Employment_status,Time_taken_seconds,Time_taken_minutes,Included,Exclusion_reason
60a1e1f4a3707c983a98f185,32,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1794,29.9,True,
5f81fc9446ee002f681ea5e3,30,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,3892,64.86666666666666,True,
65a4598a91a3f0e75374a8c4,30,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,3290,54.833333333333336,True,
675f432df87b18ecba0964f4,22,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Part-Time,2643,44.05,True,
676379302839a2e46a4d6de5,29,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1441,24.016666666666666,True,
66dd097265650e0dec23231f,34,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1877,31.283333333333335,True,
66bab7aa032ffe5aeb0a3834,27,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,3344,55.733333333333334,True,
66049315b5c325fdaafea8fa,29,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2439,40.65,True,
66f198a897fe47706e8cdfd2,18,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),1912,31.866666666666667,True,
66243f204cef464daff99f8d,27,Male,"No, I have no issues seeing colours",Yes,United States,NA,NA,1826,30.433333333333334,True,
63ebd39a63bb79b50d438ab7,28,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,3477,57.95,True,
5e375b7e76397a6f27f9547f,31,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1507,25.116666666666667,True,
676d40e2915d059bf7ef62e8,32,Male,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Part-Time,4008,66.8,True,
6738c218706186b3fe8e8f56,31,Female,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Full-Time,3775,62.916666666666664,True,
5edc7aed858a159580341afa,32,Female,"No, I have no issues seeing colours",Yes,United States,No,NA,2069,34.483333333333334,True,
6750c18b7e2026c4edd0ad26,22,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Part-Time,2715,45.25,True,
66e7a85e45c1132f1e2d12b6,25,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1837,30.616666666666667,True,
6721aeda53346fd7b593efd7,25,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,1928,32.13333333333333,True,
561487ad7ffc8a0012812266,34,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,1983,33.05,True,
66733b0613db805ab4f05114,30,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2207,36.78333333333333,True,
675402ab00652943d80d7ddb,22,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Other,3028,50.46666666666667,True,
677fafc0a5ea31abbf20ebad,31,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,3848,64.13333333333334,True,
66cfb812269143794dc55575,23,Male,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,1729,28.816666666666666,True,
61233706eb1ec697c18d5aef,23,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,1225,20.416666666666668,True,
6575c6e1563027adb8f299cb,20,Male,"No, I have no issues seeing colours",Yes,United Kingdom,NA,Unemployed (and job seeking),1743,29.05,True,
610466e3fb619bdbdf8eb32d,24,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,3869,64.48333333333333,True,
6659f937e570ab09f05021a3,31,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,1701,28.35,True,
5e968e6744b6d010b16540a4,27,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Unemployed (and job seeking),2316,38.6,True,
5630b79b733ea00011164946,28,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Part-Time,1862,31.033333333333335,True,
6766a8b9f2f6140bdb9fab39,28,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2828,47.13333333333333,True,
5dd671942b033b5ec8bc97b4,26,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2990,49.833333333333336,True,
672d770786fa273d84b761d2,23,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1971,32.85,True,
678e5e240021ccd474206641,28,Male,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,3751,62.516666666666666,True,
671983e8022d66fd0242265b,33,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1594,26.566666666666666,True,
66849ebd4dd65cfd282d2ad5,27,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),2568,42.8,True,
677d1f4f3c247c1a7a6fb57f,21,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,2306,38.43333333333333,True,
674ca6e73e98a96de2cda112,32,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2061,34.35,True,
6170cb31c3656859cca7cc57,26,Male,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Unemployed (and job seeking),1871,31.183333333333334,True,
6547bf8012d4702680d55663,23,Prefer not to say,"No, I have no issues seeing colours",Yes,United States,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",2120,35.333333333333336,True,
5b8bf5dd7b334200011da4aa,25,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,1785,29.75,True,
663ec602f5dc7af6ccc1c2d0,23,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,2487,41.45,True,
6127017baee75f10aa174139,24,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,2064,34.4,True,
6668d4917e343a318af11adf,26,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,2830,47.166666666666664,True,
678b3480eed43ba29dc48ed5,20,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1518,25.3,True,
677412c094eeb8f1992fc3ae,20,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Unemployed (and job seeking),2049,34.15,True,
65fa95fafeda35caf378b6f9,22,Male,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),2097,34.95,True,
67759a26b7a5424ec5d0c0a1,29,Male,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,2198,36.63333333333333,True,
66463d3560eac977430ac716,21,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,1715,28.583333333333332,True,
672d053f3563ff089759a66f,27,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,5599,93.31666666666666,True,
678553764d429ce5b3d40f4c,21,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Unemployed (and job seeking),1853,30.883333333333333,True,
664d46ad7cc1780eecfd0c24,25,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1794,29.9,True,
5d47901043518d0017bf3c04,27,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",1496,24.933333333333334,True,
6786177b26851e38285d94a1,20,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Other,1955,32.583333333333336,True,
6716dbc5faa8d435d67f0ed7,26,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2720,45.333333333333336,True,
678aa22eb5db2af9be397452,32,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Part-Time,2413,40.21666666666667,True,
66f6e3a582de0614bd19b481,30,Female,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),2798,46.63333333333333,True,
678c0db9c6a63a1de276a649,33,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,2061,34.35,True,
657ca800404c8884226c8f42,20,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2096,34.93333333333333,True,
5d91daf3704e790018f47229,34,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1334,22.233333333333334,True,
6781563ac4093eb7a7433ff3,31,Female,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Part-Time,2850,47.5,True,
6740484e188a64793529ee77,32,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,2450,40.833333333333336,True,
5a9bbda1f6dfdd0001ea9639,29,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",1663,27.716666666666665,True,
676063838d4db0d3eaa69c2b,28,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2303,38.38333333333333,True,
6033fd8bc8659800086d87b0,34,Female,"No, I have no issues seeing colours",Yes,United States,NA,Full-Time,1886,31.433333333333334,True,
677aae4e7390567a435c3c23,19,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,3099,51.65,True,
655f9f56990f2a2d957b1cad,22,Female,"No, I have no issues seeing colours",Yes,United States,NA,NA,4697,78.28333333333333,True,
5a6eac90d5d4cb0001d6815a,30,Female,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,1780,29.666666666666668,True,
5f974c72a0ed8c0f9ce724ea,34,Male,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,1732,28.866666666666667,True,
66d9fc2d2b46f520118ea65f,35,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,2265,37.75,True,
671469967e2a4f2e612e3846,33,Female,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,1927,32.11666666666667,True,
665f97db56096b743c2332b1,34,Male,"No, I have no issues seeing colours",Yes,United States,No,NA,1790,29.833333333333332,True,
67227eb3d24e7ab203397120,34,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Due to start a new job within the next month,2160,36.0,True,
678b95e7567348686a870e6b,27,Male,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,3497,58.28333333333333,True,
67824ed63aa44baedbe5d46f,23,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2375,39.583333333333336,True,
662ddcfc1103d1acda67d937,35,Female,"No, I have no issues seeing colours",Yes,United States,No,NA,1700,28.333333333333332,True,
60fdc934e81b93f92f561d76,25,Female,"No, I have no issues seeing colours",Yes,United States,NA,NA,1857,30.95,True,
67855ba77a8e1aaf8e477978,18,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,1771,29.516666666666666,True,
610341bbc7f7114aea9a2cea,23,Female,"No, I have no issues seeing colours",Yes,United States,No,Unemployed (and job seeking),1919,31.983333333333334,True,
649d257f5e8bfe6ee264e160,34,Male,"No, I have no issues seeing colours",Yes,United States,No,Full-Time,6177,102.95,True,
66eddeb07ae1f7510780b109,32,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,2249,37.483333333333334,True,
677e333ee5769779d2fb960f,35,Female,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2851,47.516666666666666,True,
671fbc510bb94767d36db746,22,Female,"No, I have no issues seeing colours",Yes,United States,NA,Full-Time,2189,36.483333333333334,True,
5d6513f46f5284000118ef1d,26,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Part-Time,2421,40.35,True,
67253dbcd4950a2168aa7741,26,Female,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Part-Time,2311,38.516666666666666,True,
66122c3b55a1487b4e58e292,25,Male,"No, I have no issues seeing colours",Yes,United States,Yes,Full-Time,1785,29.75,True,
676eb8d5dd1b9e51d21ec734,34,Female,"No, I have no issues seeing colours",Yes,United Kingdom,No,Full-Time,3062,51.03333333333333,True,
673283141ee7ec9141e8bcf4,30,Male,"No, I have no issues seeing colours",Yes,United States,No,Part-Time,1274,21.233333333333334,True,
678a7c0fa6dada0f1ffae746,18,Male,"No, I have no issues seeing colours",Yes,United Kingdom,Yes,Part-Time,3556,59.266666666666666,True,
