PROLIFIC_PID,va_d_prime_ss3_d1,va_d_prime_ss3_d3,va_d_prime_ss5_d1,va_d_prime_ss5_d3,va_set_size_effect_delay1,va_set_size_effect_delay3,va_delay_effect_size3,va_delay_effect_size5,mrt_accuracy_0,mrt_accuracy_50,mrt_accuracy_100,mrt_accuracy_150,mrt_rt_slope,mrt_overall_accuracy,familiar_person_score,sunrise_score,shop_front_score,countryside_score,driving_score,beach_score,railway_station_score,garden_score
5efe44bebdee09152fe08acc,1.569972747251497,2.256872400428897,2.4936473961509886,1.3022647393089928,-0.9236746488994916,0.9546076611199044,-0.6868996531774001,1.1913826568419958,1.0,0.9166666666666666,0.875,0.9130434782608696,0.0044053613777526,0.926177536231884,13,15,14,10,13,12,10.0,16.0
676d592187581f23f60331bb,1.792183229073417,1.085019839864568,1.0664271733630608,1.1718525605643293,0.7257560557103562,-0.0868327206997612,0.7071633892088489,-0.1054253872012684,,,,,,,18,19,12,10,13,14,12.0,15.0
55a9f6a1fdf99b2d81b5295f,,,,,,,,,0.9130434782608696,0.9583333333333334,0.9166666666666666,0.8181818181818182,0.0108611319405232,0.901556324110672,9,14,13,13,10,9,9.0,13.0
583d5dd49c5f2a0001b85f40,2.53905900811532,1.5860250547190646,1.5617924079751615,1.758615024806716,0.9772666001401582,-0.1725899700876514,0.9530339533962552,-0.1968226168315543,0.9130434782608696,0.9565217391304348,0.9130434782608696,0.9130434782608696,0.0076571987012987,0.9239130434782609,17,16,15,18,18,16,12.0,14.0
676d40e2915d059bf7ef62e8,,,,,,,,,,,,,,,17,17,19,18,19,19,19.0,19.0
678755cc09f64198c984b217,,,,,,,,,,,,,,,16,13,16,15,15,16,16.0,15.0
5eb342dff78ab11407daf144,1.811714840529576,1.1024222741766994,0.9628315693121672,0.9163282871688344,0.8488832712174089,0.1860939870078648,0.7092925663528766,0.0465032821433325,0.9130434782608696,1.0,0.8260869565217391,0.875,0.0122396300125313,0.9035326086956522,17,16,14,18,18,13,18.0,20.0
6784b7b57a26bfddbafe40e6,,,,,,,,,,,,,,,16,19,15,17,18,15,15.0,15.0
565a3d24c51d430005875042,2.087646756664343,2.087646756664343,1.3861825895867712,1.386182589586771,0.7014641670775719,0.7014641670775721,0.0,2.220446049250313e-16,0.9130434782608696,0.9130434782608696,0.7272727272727273,0.7391304347826086,0.0149590307072829,0.8231225296442688,12,16,10,13,9,13,13.0,14.0
660e2337aad9e33736f08e84,3.2288199630120378,2.4936473961509886,1.527954525119504,2.256872400428897,1.7008654378925336,0.2367749957220914,0.7351725668610491,-0.728917875309393,,,,,,,18,17,16,16,15,8,12.0,16.0
6711c745bcc0626c2de36d07,1.7590601738450755,1.1024222741766994,-0.3223898535806505,1.0850198398645678,2.0814500274257264,0.0174024343121315,0.6566378996683764,-1.4074096934452185,0.8695652173913043,0.8260869565217391,0.6086956521739131,0.7916666666666666,0.0060685909774436,0.7740036231884058,11,16,11,12,8,15,11.0,12.0
678b749494dd9deb974cb25f,,,,,,,,,,,,,,,20,20,15,13,14,19,14.0,15.0
677e333ee5769779d2fb960f,,,,,,,,,,,,,,,16,17,19,17,15,11,20.0,15.0
6630ec1ebe18d48a3cecb54e,3.1857372178398284,3.234058831204229,1.4652337926855226,1.1641291391677808,1.720503425154306,2.0699296920364483,-0.0483216133644006,0.3011046535177417,0.875,0.9583333333333334,0.8695652173913043,0.875,0.0126454162111801,0.8944746376811594,12,16,16,18,14,18,16.0,15.0
5d4869cc692e5400197a980c,2.8482279197861606,2.532804316563664,2.217715480016221,1.3575874296762378,0.6305124397699391,1.1752168868874264,0.3154236032224964,0.8601280503399837,1.0,0.9166666666666666,0.75,0.875,0.0106713170838822,0.8854166666666666,12,12,12,14,14,13,14.0,15.0
677aae4e7390567a435c3c23,,,,,,,,,,,,,,,14,13,16,9,10,13,20.0,11.0
67329e974d0c9d4221e4c4ac,2.4936473961509886,0.8593300540540564,1.3861825895867712,1.6335193458110049,1.1074648065642174,-0.7741892917569485,1.6343173420969324,-0.2473367562242336,0.782608695652174,0.5416666666666666,0.75,0.4166666666666667,0.0044912205128205,0.6227355072463768,14,20,17,20,17,19,16.0,20.0
