PROLIFIC_PID,condition,set_size,delay,n_valid_trials,n_hit_trials,n_fa_trials,hit_rate,fa_rate,hit_rate_corrected,fa_rate_corrected,d_prime,criterion,mean_rt,rt_sd
57dd186e6598aa0001992616,SS3_D3,3,3,27,11,2,0.8461538461538461,0.14285714285714285,0.8461538461538461,0.14285714285714285,2.087646756664343,0.023747145545970128,1.1292555555555555,0.14115732448729065
57dd186e6598aa0001992616,SS3_D1,3,1,26,12,3,1.0,0.21428571428571427,0.9583333333333334,0.21428571428571427,2.52330300386562,-0.47001289418943537,1.167573076923077,0.15077681402043835
5da6139c002c29001335b5a2,SS5_D3,5,3,27,10,1,0.7142857142857143,0.07692307692307693,0.7142857142857143,0.07692307692307693,1.9920256942057102,0.43006402516999204,1.1205925925925926,0.18562647756661538
5da6139c002c29001335b5a2,SS5_D1,5,1,28,9,1,0.6428571428571429,0.07142857142857142,0.6428571428571429,0.07142857142857142,1.8313401494860924,0.5495637179424764,1.1569392857142857,0.30655169866602666
5da6139c002c29001335b5a2,SS3_D3,3,3,27,12,2,0.9230769230769231,0.14285714285714285,0.9230769230769231,0.14285714285714285,2.4936473961509886,-0.17925317419735276,1.0602888888888888,0.1962695386321367
5da6139c002c29001335b5a2,SS3_D1,3,1,27,12,0,0.8571428571428571,0.0,0.8571428571428571,0.038461538461538464,2.8363955623968478,0.35062725732028244,1.060259259259259,0.22989995860952425
675c3fae9f1afa4c4207dab3,SS5_D3,5,3,27,9,1,0.6428571428571429,0.07692307692307693,0.6428571428571429,0.07692307692307693,1.792183229073417,0.5299852577361387,1.3330740740740739,0.5659743080555136
675c3fae9f1afa4c4207dab3,SS5_D1,5,1,27,9,0,0.6428571428571429,0.0,0.6428571428571429,0.038461538461538464,2.134931395319276,0.7013593408590683,1.162074074074074,0.20574964733607048
675c3fae9f1afa4c4207dab3,SS3_D3,3,3,26,10,0,0.8333333333333334,0.0,0.8333333333333334,0.03571428571428571,2.7701646568408913,0.4176607623187446,1.3183076923076922,0.4147470331882574
675c3fae9f1afa4c4207dab3,SS3_D1,3,1,27,13,0,1.0,0.0,0.9615384615384616,0.03571428571428571,3.571568129257897,0.016959026110242026,1.1518148148148148,0.3098760343994945
5f4d3cb5fdda0b2c403fb801,SS5_D3,5,3,27,9,2,0.6428571428571429,0.15384615384615385,0.6428571428571429,0.15384615384615385,1.3861825895867712,0.3269849379928158,1.6242962962962963,1.2365263512329399
5f4d3cb5fdda0b2c403fb801,SS5_D1,5,1,27,7,2,0.5,0.15384615384615385,0.5,0.15384615384615385,1.0200762327862014,0.5100381163931007,1.1650037037037038,0.7193735498449497
5f4d3cb5fdda0b2c403fb801,SS3_D3,3,3,27,10,1,0.7692307692307693,0.07142857142857142,0.7692307692307693,0.07142857142857142,2.201549710061652,0.36445893765469645,1.3035333333333337,0.7669529104991237
